iter	RMSE
0	17.47136429
1	15.90668416
2	14.53057688
3	13.28560733
4	12.13723572
5	11.10109747
6	10.13393003
7	9.308919596
8	8.533257489
9	7.83792946
10	7.196209586
11	6.611008131
12	6.086196518
13	5.619986597
14	5.235059158
15	4.85973788
16	4.538332764
17	4.248209956
18	3.992694254
19	3.766505343
20	3.56308515
21	3.387546184
22	3.227265516
23	3.093251273
24	2.976056674
25	2.870785867
26	2.778809847
27	2.691194691
28	2.618824081
29	2.55562237
30	2.50125204
31	2.457839793
32	2.411859085
33	2.372748326
34	2.340789713
35	2.312537084
36	2.286527809
37	2.264450276
38	2.245812103
39	2.227612736
40	2.212505431
41	2.198713291
42	2.186642863
43	2.174818888
44	2.165328794
45	2.156939925
46	2.149050204
47	2.142754734
48	2.136326693
49	2.130848278
50	2.125450997
51	2.117824127
52	2.113530821
53	2.109581325
54	2.106209568
55	2.099776018
56	2.09701875
57	2.09450426
58	2.092186328
59	2.089415872
60	2.087515836
61	2.082685413
62	2.079098016
63	2.07647159
64	2.074819544
65	2.071455657
66	2.070223156
67	2.068541061
68	2.067182989
69	2.066276317
70	2.064930891
71	2.063628811
72	2.062681948
73	2.061708076
74	2.060650929
75	2.059637206
76	2.058952513
77	2.057938662
78	2.056776564
79	2.055661322
80	2.054076825
81	2.053786241
82	2.05312557
83	2.051999198
84	2.049318564
85	2.048647013
86	2.047482239
87	2.045214608
88	2.04466967
89	2.043458527
90	2.042675909
91	2.042189591
92	2.040207189
93	2.038455104
94	2.037831019
95	2.036599211
96	2.035974815
97	2.035392739
98	2.034221914
99	2.033489491
