iter	Passed	Remaining
0	4	418
1	7	376
2	11	356
3	15	363
4	18	353
5	21	339
6	25	338
7	28	329
8	32	326
9	35	318
10	39	322
11	43	317
12	46	313
13	50	310
14	54	307
15	58	304
16	61	302
17	65	297
18	69	294
19	72	289
20	75	285
21	79	281
22	82	275
23	85	272
24	88	266
25	91	261
26	95	259
27	99	255
28	102	250
29	106	247
30	109	244
31	113	240
32	116	235
33	119	232
34	123	228
35	126	225
36	129	220
37	132	216
38	135	212
39	139	209
40	143	205
41	146	201
42	149	198
43	152	194
44	155	190
45	159	187
46	163	184
47	166	180
48	170	177
49	173	173
50	177	170
51	180	166
52	184	163
53	187	159
54	190	156
55	194	152
56	197	148
57	200	145
58	205	142
59	208	139
60	211	135
61	215	131
62	219	129
63	223	125
64	227	122
65	230	118
66	233	114
67	237	111
68	241	108
69	244	104
70	248	101
71	251	97
72	255	94
73	258	90
74	262	87
75	266	84
76	269	80
77	272	76
78	275	73
79	278	69
80	281	66
81	284	62
82	287	58
83	290	55
84	293	51
85	297	48
86	300	44
87	304	41
88	307	37
89	310	34
90	313	31
91	316	27
92	320	24
93	324	20
94	327	17
95	330	13
96	333	10
97	338	6
98	341	3
99	344	0
